id,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
87023,11,0,7,0,4175,0.515,8,0,9195.263334,980.83,7500,1695.26,0,0,0,01-06-2010,256.59,01-06-2010
88854,0,0,2,0,3164,0.137,2,0,5174.194867,232.85,5000,174.19,0,0,0,01-03-2008,0,01-05-2007
90376,0,0,17,0,85607,0.007,26,0,5174.198551,672.66,5000,174.2,0,0,0,01-01-2008,0,01-06-2007
90395,0,0,11,0,9698,0.194,20,0,5272.161128,1397.12,5000,272.16,0,0,0,01-04-2008,0,01-06-2007
90665,5,0,6,0,8847,0.269,9,0,9913.491822,1020.51,8500,1413.49,0,0,0,01-07-2010,281.94,01-07-2010
90966,0,0,2,0,6053,0.195,19,0,5174.186842,4294.58,5000,174.19,0,0,0,01-01-2008,4397.47,01-06-2007
92187,0,0,13,0,7274,0.131,40,0,2822.969293,1213.88,2500,322.97,0,0,0,01-07-2010,80.9,01-06-2010
92402,0,0,10,0,66033,0.23,29,0,5698.603286,797.8,5000,698.6,0,0,0,01-07-2010,159.83,01-11-2014
92440,0,0,8,0,3660,0.068,16,0,5593.631701,3468.05,5000,593.63,0,0,0,01-07-2010,157.38,01-06-2007
92507,0,0,7,0,216,0.006,19,0,5593.626092,279.68,5000,593.63,0,0,0,01-07-2010,156.29,01-06-2007
92533,0,44,15,1,27185,0.161,29,0,5912.052998,798.13,5000,912.05,0,0,0,01-07-2010,165.17,01-06-2007
92552,0,0,6,0,28329,0.486,6,0,5804.732505,435.36,5000,804.73,0,0,0,01-07-2010,162.07,01-06-2010
92666,0,0,16,0,60568,0.392,38,0,5751.530533,603.91,5000,751.53,0,0,0,01-07-2010,161.55,01-06-2007
92676,0,0,12,0,40934,0.263,39,0,5645.957239,169.38,5000,645.96,0,0,0,01-07-2010,157.31,01-06-2007
93061,0,0,8,0,8379,0.169,16,0,5593.631701,279.69,5000,593.63,0,0,0,01-07-2010,157.02,01-06-2010
93277,0,0,10,0,3660,0.078,13,0,3419.14485,1082.73,3000,419.14,0,0,0,01-07-2010,97.45,01-07-2010
94838,19,0,5,0,0,0,8,0,3498.858899,2974.03,3000,498.86,0,0,0,01-07-2010,98.49,01-02-2013
96350,0,0,10,0,15840,0.471,12,0,5912.052998,1005.05,5000,912.05,0,0,0,01-07-2010,166.25,01-10-2012
96844,0,0,15,0,6844,0.144,29,0,6012.561053,680.67,5300,712.56,0,0,0,01-07-2010,170.05,01-07-2010
98276,0,0,4,0,1321,0.165,4,0,6069.341452,224.8,5400,669.34,0,0,0,01-07-2010,169.09,01-12-2013
98339,0,0,11,0,4737,0.239,22,0,5779.031624,651.56,5100,679.03,0,0,0,01-04-2010,638.15,01-06-2007
98982,0,0,21,0,23489,0.376,28,0,5725.016258,772.88,5000,725.02,0,0,0,01-07-2010,160.02,01-07-2010
99009,0,0,10,0,2817,0.102,16,0,6421.743349,4104.33,5750,671.74,0,0,0,01-05-2010,4.74,01-04-2010
100214,0,0,5,0,1783,0,11,0,5593.634135,4111.32,5000,593.63,0,0,0,01-08-2010,157.74,01-06-2007
101579,0,0,4,0,3534,0.544,4,0,11662.89219,466.52,10000,1662.89,0,0,0,01-07-2010,328.93,01-10-2010
102376,0,0,5,0,2422,0.233,12,0,29269.95527,614.67,25000,4269.96,0,0,0,01-06-2010,3.54,01-06-2010
106079,0,0,10,0,2864,0.411,16,0,3942.013096,1351.55,3500,442.01,0,0,0,01-03-2009,1798.54,01-05-2016
106360,0,0,12,0,3075,0.923,13,0,3415.389823,695.73,2700,715.39,0,0,0,01-07-2010,96.4,01-07-2010
107136,19,0,10,0,17214,0.081,24,0,13128.88362,1634.41,12250,878.88,0,0,0,01-04-2008,9939.88,01-07-2007
109355,24,0,3,0,1153,0.758,4,0,1425.37,0,1200,225.37,0,0,0,01-07-2010,39.45,01-07-2010
111227,0,0,17,0,41674,0.741,26,0,20339.66,2845.82,16077.42,4262.24,0,0,0,01-02-2010,678.08,01-05-2016
111307,78,0,9,0,43039,0.934,24,0,14449.28798,3010.27,12000,2449.29,0,0,0,01-07-2010,402.93,01-07-2010
111917,0,0,7,0,3362,0.693,8,0,7395.962477,4709.15,6400,995.96,0,0,0,01-08-2010,206.58,01-07-2010
112216,2,0,6,0,11868,0.719,23,0,14361.46082,1226.71,12000,2341.57,19.89,0,0,01-03-2011,239.9,01-03-2011
112245,0,0,4,0,2562,0.14,7,0,5593.638527,4446.94,5000,593.64,0,0,0,01-08-2010,158.65,01-04-2016
112323,0,0,17,0,1882,0.324,18,0,4097.157701,1316.94,3500,582.16,15,0,0,01-09-2010,6.57,01-08-2010
112496,0,61,3,1,1064,0.709,6,0,3579.662273,626.44,3000,579.66,0,0,0,01-08-2010,101.51,01-07-2010
113156,15,0,19,0,6432,0.06,37,0,3952.171178,3952.17,3500,452.17,0,0,0,01-08-2010,110.07,01-07-2010
113179,0,0,9,0,4485,0.369,11,0,703.95,668.87,544.02,138.64,0,21.29,0.23,01-05-2009,32.55,01-10-2009
113194,5,0,13,0,16310,0.205,32,0,4063.318618,2002.64,3500,563.32,0,0,0,01-08-2010,114.13,01-07-2010
116040,38,0,9,0,20969,0.402,26,0,5778.087809,895.6,5000,778.09,0,0,0,01-08-2010,163.82,01-08-2010
116582,44,0,10,0,22213,0.659,22,0,12260.31053,1195.38,10000,2260.31,0,0,0,01-08-2010,343.82,01-08-2010
117056,47,0,12,0,2160,0.023,22,0,5592.073299,1649.66,5000,592.07,0,0,0,01-01-2010,1221.57,01-01-2010
117249,0,0,13,0,813,0.01,36,0,5495.826405,1428.92,5000,495.83,0,0,0,01-06-2009,2233.27,01-06-2009
117794,0,0,15,0,23678,0.244,60,0,7826.508179,417.44,7500,326.51,0,0,0,01-03-2008,6415.65,01-06-2007
117863,0,0,10,0,11289,0.478,15,0,9199.512831,2616.11,8000,1199.51,0,0,0,01-05-2010,154.52,01-02-2014
118523,0,0,11,0,56411,0.753,28,0,4054.35,139.42,2886.21,1168.14,0,0,0,01-02-2009,225.37,01-05-2016
118533,0,0,9,0,269,0.038,35,0,2086.63,688.35,1730.83,354.44,1.36,0,0,01-03-2010,1.4,01-05-2016
118823,0,0,11,0,3408,0.351,32,0,2220.61,599.28,1706.01,477.21,1.69,35.7,0.38,01-03-2010,1.76,01-05-2016
119043,54,111,13,1,6513,0.343,29,0,11652.75,451.73,8688.59,2659.96,0,304.2,3.09,01-10-2009,1016.15,01-03-2010
120215,0,0,2,0,330,0.11,4,0,4474.37586,3998.97,4000,474.38,0,0,0,01-08-2010,119.24,01-04-2015
120374,24,0,13,0,5967,0.198,17,0,2279.4299,541.36,2000,279.43,0,0,0,01-08-2010,64.27,01-08-2010
120525,0,0,4,0,5533,0.796,5,0,4708.070922,1736.1,4000,708.07,0,0,0,01-08-2010,134.78,01-06-2011
121426,0,0,15,0,21050,0.01,24,0,3125.460949,3099.41,3000,125.46,0,0,0,01-04-2008,2563.59,01-08-2007
121530,0,0,17,0,21050,0.007,29,0,3125.435781,2318.03,3000,125.44,0,0,0,01-04-2008,2563.55,01-08-2007
121535,0,0,6,0,8155,0.149,8,0,3191.218575,1852.05,2800,391.22,0,0,0,01-09-2010,89.8,01-08-2007
121568,0,0,6,0,8155,0.149,8,0,4622.489229,2224.58,4000,622.49,0,0,0,01-09-2010,129.76,01-08-2007
121824,0,0,10,0,3678,0.307,14,0,3158.893661,2290.21,3000,158.89,0,0,0,01-05-2008,2494.29,01-01-2015
122070,42,0,10,0,2040,0.362,21,0,6446.047047,1969.62,5400,1046.05,0,0,0,01-04-2010,1055.1,01-01-2012
122404,0,0,9,0,33074,0.688,9,0,13813.15438,1733.47,12750,1063.15,0,0,0,01-04-2008,11149.39,01-08-2007
122637,0,0,12,0,1918,0.171,16,0,4495.838507,1742.16,4000,495.84,0,0,0,01-09-2010,126.29,01-08-2010
122718,0,0,8,0,22379,0.622,15,0,20042.61423,866.8,18500,1542.61,0,0,0,01-04-2008,16177.15,01-02-2011
123228,0,0,4,0,10296,0.425,8,0,12838.44,624.61,10395.56,2442.88,0,0,0,01-05-2009,642.02,01-05-2016
123230,0,0,16,0,2867,0.551,17,0,628.19,281.8,455.95,172.24,0,0,0,01-03-2008,104.76,01-04-2016
124436,0,0,9,0,12310,0.861,15,0,5675.572528,3635.91,4800,875.57,0,0,0,01-09-2010,160.09,01-08-2014
125671,0,0,10,0,61921,0.391,27,0,13819.081,5784.07,12125,1694.08,0,0,0,01-09-2010,385.26,01-09-2010
125897,0,0,9,0,16738,0.261,24,0,7174.090957,2517.7,6625,549.09,0,0,0,01-08-2008,2329.53,01-11-2015
126213,0,0,13,0,40384,0.092,28,0,10727.30463,4403.84,9500,1227.3,0,0,0,01-09-2010,299.36,01-09-2010
126215,0,0,8,0,1359,0.056,16,0,5459.636223,2293.05,5000,459.64,0,0,0,01-05-2009,143.94,01-05-2009
126287,0,0,18,0,107501,0.448,34,0,11068.42185,3237.51,10000,1068.42,0,0,0,01-10-2008,7110.05,01-09-2008
126392,0,0,14,0,3054,0.056,41,0,10435.30342,2843.62,10000,435.3,0,0,0,01-04-2008,8553.6,01-08-2007
126776,0,0,11,0,40384,0.096,25,0,10727.30463,1383.26,9500,1227.3,0,0,0,01-10-2010,305.23,01-09-2010
126788,0,0,9,0,128000,0,18,0,8104.154188,6267.21,7500,604.15,0,0,0,01-09-2008,5468.54,01-08-2008
127213,0,0,14,0,4709,0.185,8,0,2219.432551,1747.8,2000,219.43,0,0,0,01-04-2010,3.06,01-04-2010
127353,4,0,5,0,2850,0.75,19,0,3381.645272,1245.87,2850,531.65,0,0,0,01-04-2010,9.29,01-04-2010
127472,46,0,5,0,51,0,9,0,2580.248838,666.85,943.58,382.27,0,1254.398838,444.25,01-03-2009,73.68,01-05-2016
127504,0,0,7,0,37152,0.037,19,0,11291.91405,1489.2,10000,1291.92,0,0,0,01-11-2010,317.43,01-11-2010
127531,0,0,13,0,3839,0.166,24,0,19555.18587,345.09,17000,2555.19,0,0,0,01-09-2010,545.37,01-11-2015
127719,0,0,6,0,37152,0.037,12,0,11291.91956,4141.29,10000,1291.92,0,0,0,01-11-2010,323.55,01-11-2010
127830,22,0,15,0,26283,0.395,20,0,7294.65,136.4,5717.45,1474.29,0,102.91,1.04,01-12-2009,266.37,01-05-2010
128635,0,0,6,0,5607,0.422,7,0,7648.052287,588.31,6500,1088.05,59.99999996,0,0,01-10-2010,188.8,01-04-2012
128881,0,0,3,0,1061,0.819,4,0,8570.680502,91.83,7000,1540.68,30,0,0,01-11-2010,126.36,01-10-2010
129745,0,0,8,0,56740,0.775,23,0,11663.55831,320.75,10000,1663.56,0,0,0,01-10-2010,327.94,01-09-2010
130512,0,0,11,0,40598,0.773,42,0,8192.665786,480.26,7250,942.67,0,0,0,01-05-2009,3946.77,01-03-2010
130735,0,0,28,0,3815,0.065,32,0,11444.36549,1032.78,10250,1194.37,0,0,0,01-09-2008,7924.41,01-08-2008
130907,64,0,10,0,0,0,22,0,4191.717919,1027.11,3775,416.72,0,0,0,01-08-2010,9.7,01-03-2016
130986,0,0,4,0,50,0.003,6,0,2338.44735,2032.22,2100,238.45,0,0,0,01-10-2010,69.15,01-12-2010
131223,34,0,4,0,4569,0.564,7,0,25188.82338,1511.33,20000,5188.82,0,0,0,01-10-2010,707.68,01-09-2010
131387,0,0,6,0,8528,0.861,7,0,7029.69413,702.97,6000,1029.69,0,0,0,01-10-2010,198.8,01-09-2010
131618,0,0,11,0,14345,0.458,21,0,10641.12426,916.33,9000,1641.12,0,0,0,01-10-2010,298.04,01-03-2013
131649,41,0,11,0,113,0.024,21,0,7833.037378,1211.92,6625,1208.04,0,0,0,01-10-2010,219.63,01-09-2010
131782,0,0,8,0,12231,0.81,13,0,6138,812.88,4386.34,1601.56,0,150.1,1.6,01-12-2009,50.09,01-05-2010
132062,8,0,14,0,13552,0.691,18,0,8943.420138,1552.69,7200,1743.42,0,0,0,01-10-2010,252.65,01-04-2016
132172,0,0,11,0,16813,0.639,13,0,6939.838576,1040.98,6000,939.84,0,0,0,01-02-2010,1692.37,01-02-2010
132892,60,117,9,1,26233,0.629,37,0,4015.96,311.64,1496.83,609.26,0,1909.87,668.36,01-05-2008,301.05,01-05-2016
132946,0,0,7,0,5760,0.16,10,0,5900.951139,1090.7,5275,625.95,0,0,0,01-10-2010,172.42,01-10-2010
133301,22,0,3,0,105,0.35,25,0,4073.98,677.96,2938.05,676.44,0,459.49,124.88,01-10-2009,150.66,01-05-2016
133685,0,0,10,0,11490,0.957,11,0,7762.02533,1113.05,6625,1137.03,0,0,0,01-02-2010,1888.34,01-03-2010
134436,23,0,13,0,17641,0.305,24,0,3068.020133,1215.06,2525,543.02,0,0,0,01-10-2010,89.89,01-08-2015
135201,0,0,5,0,0,0,9,0,10273.97249,205.52,10000,273.97,0,0,0,01-01-2008,9617.25,01-09-2007
135594,0,0,13,0,12430,0.192,32,0,5504.771552,1304.46,5275,229.77,0,0,0,01-05-2008,4512.61,01-09-2007
136226,0,0,8,0,12323,0.44,16,0,5035.12991,995.32,4300,735.13,0,0,0,01-04-2010,964.01,01-05-2016
136316,0,0,10,0,38624,0.978,23,0,3515.867902,1307.55,3025,490.87,0,0,0,01-05-2010,576.99,01-05-2016
136491,15,0,5,0,875,0.547,8,0,2477.03,779.4,1756.71,574.25,0,146.07,1.48,01-07-2009,333.29,01-03-2015
136634,15,0,7,0,1196,0.12,16,0,10235.30514,1535.3,8500,1735.31,0,0,0,01-10-2010,289.62,01-10-2010
137042,12,0,9,0,26628,0.604,18,0,6989.312454,896.86,5650,1339.31,0,0,0,01-10-2010,203.82,01-10-2010
137106,0,0,12,0,6752,0.246,18,0,4382.295761,538.2,4275,107.3,0,0,0,01-01-2008,4105.9,01-10-2007
137271,0,0,3,0,458,0.916,3,0,2313.97,1211.82,400.45,160.03,0,1753.49,613.6,01-06-2008,70.25,01-05-2016
137965,0,0,7,0,16786,0.447,12,0,9013.504593,3915.24,8000,1013.5,0,0,0,01-02-2010,2222.28,01-01-2011
138557,76,0,10,0,7336,0.299,20,0,9474.504091,715.6,8275,1199.5,0,0,0,01-10-2010,265.32,01-10-2010
138568,0,0,10,0,7089,0.419,25,0,3767.310996,1466.66,3275,492.31,0,0,0,01-10-2010,114.05,01-10-2010
139057,0,0,7,0,18388,0.689,22,0,6207.582068,1749.41,5500,707.58,0,0,0,01-09-2010,12.81,01-09-2010
139657,54,0,2,0,613,0.766,7,0,1393.109735,349.3,1200,193.11,0,0,0,01-11-2010,40.85,01-07-2013
139790,14,0,3,0,566,0.515,5,0,3597.734061,2637.96,1956.75,545,0,1095.984061,389.89,01-12-2009,100.35,01-05-2016
139968,41,0,9,0,9166,0.504,20,0,12074.02691,2626.1,10000,2074.03,0,0,0,01-07-2010,1333.8,01-04-2012
139980,62,76,6,1,5406,0.334,14,0,4820.71,1347.19,3891.56,844.02,29.97072527,55.16,0.7,01-03-2010,163.49,01-08-2010
140036,0,0,7,0,1188,0.03,7,0,868.81,477.36,719.9,148.91,0,0,0,01-01-2010,32.25,01-05-2016
140452,0,0,9,0,12003,0.404,9,0,3528.643953,2146.83,3000,483.65,44.99999994,0,0,01-10-2010,108.86,01-10-2010
140561,0,0,9,0,20511,0.62,9,0,520.03,52.38,323.55,110.68,0,85.8,0.86,01-05-2008,72.42,01-01-2009
140687,0,0,11,0,55720,0.1,41,0,3264.399986,1964.42,2825,439.4,0,0,0,01-11-2010,96.65,01-05-2016
140900,0,0,14,0,7744,0.171,34,0,8539.466798,593.4,8275,264.47,0,0,0,01-04-2008,7501.59,01-10-2007
141041,0,0,12,0,51761,0.38,37,0,6095.488269,1011.1,5275,820.49,0,0,0,01-11-2010,171.85,01-10-2010
141676,0,0,10,0,579,0.232,15,0,6890.119612,1521.91,6225,665.12,0,0,0,01-12-2008,4427.01,01-09-2015
141774,0,0,15,0,34776,0.543,41,0,1605.3,651.62,1028.79,427.59,0,148.92,5.7222,01-08-2008,162.01,01-05-2016
142281,0,0,15,0,8047,0.338,15,0,7850.413498,616.82,7000,850.41,0,0,0,01-05-2009,3995.3,01-04-2016
142608,0,0,6,0,0,0,6,0,5931.806949,2787.95,5000,826.81,105,0,0,01-10-2010,490.01,01-09-2010
142618,9,0,5,0,409,0.818,17,0,5701.515761,1930.2,4800,901.52,0,0,0,01-11-2010,162.23,01-10-2010
142734,0,0,9,0,185,0.005,18,0,27752.44158,1914.95,25000,2752.44,0,0,0,01-06-2009,13442.6,01-06-2009
142790,0,0,13,0,48251,0.501,28,0,5664.122277,2012.63,4925,739.12,0,0,0,01-06-2010,665.84,01-05-2016
143102,59,0,23,0,772,0.965,29,0,3499.046563,2335.17,3000,499.05,0,0,0,01-11-2010,98.93,01-11-2010
143128,11,0,9,0,1019,0.045,13,0,9504.997523,1597.44,8000,1505,0,0,0,01-11-2010,273.47,01-04-2016
143566,38,0,11,0,8332,0.399,28,0,14566.08622,323.69,12375,2191.09,0,0,0,01-11-2010,405.99,01-10-2010
144579,0,0,12,0,1790,0.045,22,0,10461.78715,4381.33,9850,611.79,0,0,0,01-10-2008,7387.64,01-10-2008
144635,0,0,14,0,62739,0.747,33,0,9239.37,1371.43,6646.07,2583.15,0,10.15,3.91,01-10-2008,839.95,01-05-2016
146564,60,0,6,0,29901,0.712,19,0,8094.3,2247.98,6700.52,1372.48,14.99593584,6.31,1.135799999,01-05-2010,553.62,01-05-2016
146641,0,0,6,0,5867,0.743,7,0,8231.777527,5196.31,8000,231.78,0,0,0,01-02-2008,7703.28,01-10-2007
146671,0,0,8,0,10605,0.221,27,0,26131.73499,2979.02,25000,1131.73,0,0,0,01-05-2008,22120.23,01-08-2009
146844,0,0,27,0,57196,0.445,39,0,12699.13,2871.53,6316.3,4640.67,20.21764038,1721.94,386.8474,01-12-2011,100.2,01-12-2011
148473,28,0,4,0,481,0.802,17,0,4484.82,817.92,3239.25,893.7,47.68952632,304.18,3.09,01-07-2009,500.11,01-01-2011
149575,0,0,2,0,2282,0.19,2,0,11121.68928,3058.47,10000,1121.69,0,0,0,01-10-2009,19.94,01-10-2009
149754,0,0,8,0,3614,0.613,13,0,4708.201721,1139.97,3999.99,708.21,0,0,0,01-11-2010,135.81,01-05-2016
150940,0,113,9,1,14930,0.79,21,0,8174.02191,1167.72,7000,1174.02,0,0,0,01-05-2010,1571.29,01-04-2016
151587,0,0,7,0,33989,0.829,16,0,22759.93342,770.07,19950,2809.93,0,0,0,01-11-2009,7966.24,01-11-2009
151607,5,0,4,0,1238,0.619,6,0,1664.724606,971.09,1500,164.72,0,0,0,01-09-2008,1199.4,01-08-2008
151621,30,0,14,0,4746,0.185,33,0,20609.24655,400.74,18000,2609.25,0,0,0,01-11-2010,574.81,01-11-2010
152291,0,0,7,0,3470,0.255,8,0,5395.041887,1237.19,4800,595.04,0,0,0,01-11-2010,151.64,01-11-2010
152663,0,0,9,0,12640,0.832,12,0,3161.605037,2344.86,3000,161.61,0,0,0,01-06-2008,2581.97,01-01-2008
153022,0,0,7,0,368,0.012,15,0,3339.035809,2031.25,3000,339.04,0,0,0,01-10-2010,11.71,01-10-2010
153054,9,0,5,0,30597,0.895,25,0,6690.131289,1224.15,5875,815.13,0,0,0,01-07-2009,3044.55,01-08-2009
153235,0,0,5,0,8537,0.755,5,0,21380.72297,664.33,18000,3380.72,0,0,0,01-11-2010,597.57,01-10-2011
153434,0,0,10,0,15649,0.545,23,0,14204.69083,809.83,11999.99,2165.46,39.23999999,0,0,01-11-2010,306.13,01-08-2011
154141,0,0,10,0,4067,0.073,24,0,5417.794338,1354.48,5000,417.79,0,0,0,01-03-2009,3076.88,01-12-2010
154154,52,114,11,1,5836,0.687,12,0,5134.085288,1176.56,4800,334.09,0,0,0,01-08-2008,3891.08,01-08-2008
154286,0,0,3,0,24615,0.947,6,0,17586.45199,1143.12,15000,2586.45,0,0,0,01-03-2011,573.03,01-02-2011
154305,64,5,5,1,7600,0.717,10,0,4198.854301,1379.38,3599.99,598.86,0,0,0,01-11-2010,117.97,01-01-2011
154776,0,0,8,0,9495,0.879,8,0,2009.43,258.3,1492.33,517.1,0,0,0,01-08-2008,223.34,01-03-2015
155780,0,0,9,0,4921,0.304,9,0,5162.394223,860.46,4800,362.39,0,0,0,01-01-2009,3214.98,01-01-2009
156021,0,0,7,0,11200,0.232,11,0,7775.636871,1275.69,6400,1375.64,0,0,0,01-04-2012,73.03,01-03-2012
156417,0,0,12,0,2444,0.056,31,0,6208.942922,1086.57,6000,208.94,0,0,0,01-06-2008,5278.09,01-09-2013
156868,0,0,8,0,916,0.068,8,0,28482.75432,1323.44,24750,3732.75,0,0,0,01-01-2011,812.73,01-12-2010
157169,0,0,12,0,148829,0.066,43,0,10361.33,206.15,8260.95,2100.38,0,0,0,01-12-2008,821.25,01-05-2016
157768,29,0,14,0,3209,0.126,37,0,4559.031276,487.57,3999.99,559.04,0,0,0,01-12-2010,128.06,01-02-2011
158289,34,0,7,0,7570,0.823,16,0,10593.50755,863.37,9000,1593.51,0,0,0,01-12-2010,297.22,01-04-2016
158706,0,103,4,1,13126,0.965,4,0,14370.92225,1161.29,12375,1995.92,0,0,0,01-02-2010,4259.11,01-05-2014
159468,0,0,16,0,66654,0.516,34,0,13399.12782,2121.53,12000,1399.13,0,0,0,01-02-2009,8231.59,01-02-2009
159665,0,0,4,0,50,0.003,6,0,6432.31679,1792.96,5750,682.32,0,0,0,01-12-2010,183.83,01-12-2010
159713,0,0,4,0,3084,0.656,4,0,986.55,712.49,804.23,143.67,0,38.65,13.45,01-05-2011,29.16,01-05-2016
161187,0,0,10,0,2598,0.238,15,0,14773.99102,1140.85,12950,1823.99,0,0,0,01-12-2009,5171.89,01-12-2009
163627,32,0,15,0,18168,0.685,30,0,4686.458561,1123.86,4000,686.46,0,0,0,01-12-2010,134.37,01-02-2013
163758,0,0,7,0,24218,0.853,7,0,3547.037137,594.48,2999.99,547.05,0,0,0,01-12-2010,99.15,01-12-2010
164346,0,0,4,0,0,0,4,0,565.0251577,452.02,500,65.03,0,0,0,01-12-2010,33.16,01-11-2015
164741,59,0,9,0,72303,0.737,33,0,18832.94253,605.07,16000,2832.95,0,0,0,01-12-2010,526.15,01-12-2010
164792,0,0,6,0,1032,0.05,7,0,18920.57192,1075.03,17600,1320.57,0,0,0,01-12-2008,12791.64,01-12-2008
166437,33,0,6,0,133,0.042,20,0,11289.55269,793.8,9600,1689.55,0,0,0,01-08-2010,116.25,01-04-2016
166534,6,0,15,0,34023,0.577,19,0,8877.15,109.65,6435.58,2009.86,0,431.71,4.34,01-04-2009,527.93,01-12-2009
166546,0,0,8,0,12430,0.296,14,0,3135.507949,261.3,3000,135.51,0,0,0,01-08-2008,2483.36,01-12-2009
166683,0,0,24,0,10742,0.089,43,0,7305.786154,1426.11,6499.99,805.8,0,0,0,01-12-2010,204.6,01-05-2014
166747,15,0,5,0,2197,0.758,13,0,2831.89,197.48,1997.01,653.65,44.99300808,136.24,1.38,01-04-2009,707.96,01-12-2009
167189,7,0,4,0,88,0.238,18,0,1587.33,72.78,1213.7,373.63,0,0,0,01-10-2008,158.76,01-05-2016
167205,42,0,15,0,13867,0.337,24,0,17495.30684,408.22,15000,2495.31,0,0,0,01-12-2010,490.65,01-02-2011
